freq(fdbf_+66),vel(fdbf_+66),wav(fdbf_+66),freq(fdbf_+56),vel(fdbf_+56),wav(fdbf_+56),freq(fdbf_+51),vel(fdbf_+51),wav(fdbf_+51),freq(fdbf_+48),vel(fdbf_+48),wav(fdbf_+48),freq(fdbf_-2),vel(fdbf_-2),wav(fdbf_-2),freq(fdbf_-5),vel(fdbf_-5),wav(fdbf_-5),freq(fdbf_-10),vel(fdbf_-10),wav(fdbf_-10),freq(fdbf_-20),vel(fdbf_-20),wav(fdbf_-20),freq(fdbf_-30),vel(fdbf_-30),wav(fdbf_-30)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0625,2.4369789947134484,38.991663915415174,0.0625,0.13774411069811204,2.2039057711697927,0.0625,1.5964462955725127,25.543140729160204,0.0625,1.6767700188302954,26.828320301284727,0.0625,0.13598302554484584,2.1757284087175335,0.0625,0.15166007471919027,2.4265611955070443,0.0625,0.12787788018850307,2.046046083016049,0.0625,0.13182334689188738,2.109173550270198,0.0625,8.906377931680955,142.5020469068953
0.125,4.803703514223631,38.42962811378905,0.125,0.27495787210075195,2.1996629768060156,0.125,3.132862140047737,25.062897120381898,0.125,0.26976456666115883,2.1581165332892707,0.125,0.27248491080862597,2.1798792864690077,0.125,0.30313621466437096,2.4250897173149677,0.125,0.2552986020194657,2.0423888161557255,0.125,0.2632995277906181,2.106396222324945,0.125,16.35573445248226,130.84587561985808
0.1875,7.0696829833037205,37.70497591095317,0.1875,0.4117573643404997,2.196039276482665,0.1875,4.598427527081352,24.524946811100545,0.1875,0.40431956530910496,2.156371014981893,0.1875,0.408838792925594,2.180473562269835,0.1875,0.4544287542495041,2.423620022664022,0.1875,0.3825571525518834,2.0403048136100446,0.1875,0.39453367888381624,2.1041796207136865,0.1875,23.026792514551627,122.80956007760868
0.25,9.251786717696762,37.00714687078705,0.25,0.5482571584996668,2.1930286339986673,0.25,6.002401097250869,24.009604389003474,0.25,0.5388022259835714,2.1552089039342857,0.25,0.5449698216172519,2.1798792864690077,0.25,0.5161326655584344,2.0645306622337376,0.25,0.5098161015930162,2.0392644063720646,0.25,0.5253538551106703,2.1014154204426814,0.25,28.92581886918804,115.70327547675215
0.3125,11.354587111802417,36.33467875776773,0.3125,0.6841958567188167,2.1894267415002133,0.3125,7.3485856272481005,23.515474007193923,0.3125,0.6731400139941643,2.1540480447813257,0.3125,0.6810266670353033,2.179285334512971,0.3125,0.6453324068583447,2.065063701946703,0.3125,0.6371076876721045,2.0387446005507344,0.3125,0.6560029011677831,2.099209283736906,0.3125,33.71840993894917,107.89891180463735
0.375,13.322886753786232,35.52769801009662,0.375,0.8199128213136228,2.1864341901696607,0.375,8.615657275607559,22.975086068286824,0.375,0.7621978264964011,2.032527537323736,0.375,0.8170093898014054,2.178691706137081,0.375,0.7741989983376515,2.064530662233737,0.375,0.764334397371569,2.0382250596575173,0.375,0.7863779153724442,2.0970077743265176,0.375,38.8882486598353,103.70199642622747
0.4375,15.205655488541938,34.755783973810146,0.4375,0.9552592910999724,2.1834498082285085,0.4375,9.85347063387869,22.52221859172272,0.4375,0.8883278251888364,2.030463600431626,0.4375,0.9526586208425201,2.177505419068617,0.4375,0.9029990802126897,2.063997897629005,0.4375,0.8917234636001639,2.0382250596575173,0.4375,0.9162397879897126,2.0942623725479144,0.4375,43.132663716364675,98.58894563740498
0.5,17.080995516125647,34.161991032251294,0.5,1.0905340810901907,2.1810681621803814,0.5,11.043429585153119,22.086859170306237,0.5,2.2733586732864794,4.546717346572959,0.5,1.0884563799240994,2.1769127598481988,0.5,1.0314665964463807,2.0629331928927614,0.5,1.0191125298287587,2.0382250596575173,0.5,16.794073423774826,33.58814684754965,0.5,46.97820177364985,93.9564035472997
0.5625,18.81432308295095,33.44768548080169,0.5625,1.225180350605804,2.1780984010769853,0.5625,12.188256611775937,21.668011754268335,0.5625,2.5560754713441596,4.544134171278506,0.5625,1.2241802380231346,2.176320423152239,0.5625,1.1601007044390328,2.062401252336058,0.5625,1.146793837809788,2.038744600550734,0.5625,18.581210294180725,33.03326274521018,0.5625,51.05135869867742,90.75797101987096
