freq(fdbf_+66),vel(fdbf_+66),wav(fdbf_+66),freq(fdbf_+56),vel(fdbf_+56),wav(fdbf_+56),freq(fdbf_+51),vel(fdbf_+51),wav(fdbf_+51),freq(fdbf_+48),vel(fdbf_+48),wav(fdbf_+48),freq(fdbf_-2),vel(fdbf_-2),wav(fdbf_-2),freq(fdbf_-5),vel(fdbf_-5),wav(fdbf_-5),freq(fdbf_-10),vel(fdbf_-10),wav(fdbf_-10),freq(fdbf_-20),vel(fdbf_-20),wav(fdbf_-20),freq(fdbf_-33),vel(fdbf_-33),wav(fdbf_-33)
0.0625,68.56714178544635,1097.0742685671416,0.0625,4993.810952738184,79900.97524381094,0.0625,4993.810952738184,79900.97524381094,0.0625,553.7884471117779,8860.615153788447,0.0625,56.18904726181545,899.0247561890473,0.0625,56.18904726181545,899.0247561890473,0.0625,4993.810952738184,79900.97524381094,0.0625,4993.810952738184,79900.97524381094,0.0625,56.18904726181545,899.0247561890473
0.125,77.231807951988,617.854463615904,0.125,4993.810952738184,39950.48762190547,0.125,4993.810952738184,39950.48762190547,0.125,652.8132033008252,5222.505626406602,0.125,56.18904726181545,449.5123780945236,0.125,56.18904726181545,449.5123780945236,0.125,4993.810952738184,39950.48762190547,0.125,4993.810952738184,39950.48762190547,0.125,56.18904726181545,449.5123780945236
0.1875,88.37209302325581,471.3178294573643,0.1875,4993.810952738184,26633.658414603648,0.1875,4993.810952738184,26633.658414603648,0.1875,965.9789947486871,5151.887971992998,0.1875,56.18904726181545,299.6749187296824,0.1875,56.18904726181545,299.6749187296824,0.1875,4993.810952738184,26633.658414603648,0.1875,4993.810952738184,26633.658414603648,0.1875,56.18904726181545,299.6749187296824
0.25,101.98799699924982,407.95198799699926,0.25,4993.810952738184,19975.243810952736,0.25,4993.810952738184,19975.243810952736,0.25,3936.721680420105,15746.88672168042,0.25,56.18904726181545,224.7561890472618,0.25,56.18904726181545,224.7561890472618,0.25,4993.810952738184,19975.243810952736,0.25,4993.810952738184,19975.243810952736,0.25,56.18904726181545,224.7561890472618
0.3125,116.8417104276069,373.8934733683421,0.3125,4993.810952738184,15980.195048762189,0.3125,4993.810952738184,15980.195048762189,0.3125,4993.810952738184,15980.195048762189,0.3125,56.18904726181545,179.80495123780946,0.3125,56.18904726181545,179.80495123780946,0.3125,4993.810952738184,15980.195048762189,0.3125,4993.810952738184,15980.195048762189,0.3125,64.85371342835708,207.53188297074266
0.375,131.69542385596398,351.1877969492373,0.375,4993.810952738184,13316.829207301824,0.375,4993.810952738184,13316.829207301824,0.375,4993.810952738184,13316.829207301824,0.375,56.18904726181545,149.8374593648412,0.375,56.18904726181545,149.8374593648412,0.375,4993.810952738184,13316.829207301824,0.375,4993.810952738184,13316.829207301824,0.375,94.56114028507128,252.16304076019006
0.4375,146.5491372843211,334.9694566498768,0.4375,4993.810952738184,11414.425034830134,0.4375,4993.810952738184,11414.425034830134,0.4375,4993.810952738184,11414.425034830134,0.4375,56.18904726181545,128.43210802700676,0.4375,56.18904726181545,128.43210802700676,0.4375,4993.810952738184,11414.425034830134,0.4375,4993.810952738184,11414.425034830134,0.4375,140.36009002250563,320.8230629085843
0.5,160.1650412603151,320.3300825206302,0.5,4993.810952738184,9987.621905476368,0.5,4993.810952738184,9987.621905476368,0.5,4993.810952738184,9987.621905476368,0.5,56.18904726181545,112.3780945236309,0.5,56.18904726181545,112.3780945236309,0.5,4993.810952738184,9987.621905476368,0.5,4993.810952738184,9987.621905476368,0.5,220.81770442610653,441.63540885221306
0.5625,173.78094523630907,308.9439026423272,0.5625,520.3675918979745,925.0979411519547,0.5625,56.18904726181545,99.8916395765608,0.5625,4993.810952738184,8877.886138201216,0.5625,56.18904726181545,99.8916395765608,0.5625,56.18904726181545,99.8916395765608,0.5625,4993.810952738184,8877.886138201216,0.5625,4993.810952738184,8877.886138201216,0.5625,381.7329332333083,678.6363257481037
0.625,186.15903975994,297.85446361590397,0.625,219.57989497374342,351.3278319579895,0.625,56.18904726181545,89.90247561890473,0.625,4993.810952738184,7990.097524381094,0.625,56.18904726181545,89.90247561890473,0.625,56.18904726181545,89.90247561890473,0.625,4993.810952738184,7990.097524381094,0.625,4993.810952738184,7990.097524381094,0.625,801.350337584396,1282.1605401350337
0.6875,196.0615153788447,285.18038600559225,0.6875,144.07351837959487,209.5614812794107,0.6875,56.18904726181545,81.72952328991339,0.6875,4993.810952738184,7263.725022164631,0.6875,56.18904726181545,81.72952328991339,0.6875,56.18904726181545,81.72952328991339,0.6875,4993.810952738184,7263.725022164631,0.6875,4993.810952738184,7263.725022164631,0.6875,3221.2678169542382,4685.480461024346
0.75,203.48837209302326,271.3178294573643,0.75,116.8417104276069,155.7889472368092,0.75,67.32933233308327,89.7724431107777,0.75,4993.810952738184,6658.414603650912,0.75,56.18904726181545,74.9187296824206,0.75,56.18904726181545,74.9187296824206,0.75,4993.810952738184,6658.414603650912,0.75,4993.810952738184,6658.414603650912,0.75,4993.810952738184,6658.414603650912
0.8125,208.4396099024756,256.54105834150846,0.8125,105.70142535633909,130.0940619770327,0.8125,80.94523630907727,99.62490622655665,0.8125,61.14028507126782,75.24958162617578,0.8125,73.51837959489872,90.48415950141381,0.8125,57.42685671417854,70.67920826360435,0.8125,4993.810952738184,6146.228864908534,0.8125,4993.810952738184,6146.228864908534,0.8125,4993.810952738184,6146.228864908534
0.875,209.6774193548387,239.63133640552994,0.875,101.98799699924982,116.55771085628551,0.875,92.08552138034509,105.24059586325153,0.875,68.56714178544635,78.36244775479584,0.875,101.98799699924982,116.55771085628551,0.875,61.14028507126782,69.87461151002036,0.875,4993.810952738184,5707.212517415067,0.875,4993.810952738184,5707.212517415067,0.875,4993.810952738184,5707.212517415067
0.9375,207.20180045011253,221.01525381345337,0.9375,100.75018754688672,107.46686671667916,0.9375,103.2258064516129,110.10752688172042,0.9375,74.75618904726181,79.73993498374594,0.9375,139.12228057014255,148.39709927481871,0.9375,64.85371342835708,69.17729432358088,0.9375,4993.810952738184,5326.731682920729,0.9375,4993.810952738184,5326.731682920729,0.9375,4993.810952738184,5326.731682920729
1.0,201.01275318829707,201.01275318829707,1.0,103.2258064516129,103.2258064516129,1.0,113.12828207051763,113.12828207051763,1.0,78.46961740435108,78.46961740435108,1.0,188.63465866466615,188.63465866466615,1.0,69.80495123780945,69.80495123780945,1.0,4993.810952738184,4993.810952738184,1.0,2395.648912228057,2395.648912228057,1.0,4993.810952738184,4993.810952738184
1.0625,193.58589647411853,182.19849079917037,1.0625,105.70142535633909,99.48369445302502,1.0625,123.03075768942234,115.79365429592691,1.0625,82.18304576144035,77.34874895194386,1.0625,265.37884471117775,249.76832443404965,1.0625,77.231807951988,72.68876042540047,1.0625,4993.810952738184,4700.057367282997,1.0625,56.18904726181545,52.88380918759101,1.0625,1095.9489872468116,1031.481399761705
1.125,183.6834208552138,163.27415187130114,1.125,109.41485371342836,97.25764774526965,1.125,134.17104276069017,119.26314912061349,1.125,83.42085521380345,74.15187130115862,1.125,404.0135033758439,359.12311411186124,1.125,4993.810952738184,4438.943069100608,1.125,4993.810952738184,4438.943069100608,1.125,56.18904726181545,49.9458197882804,1.125,420.10502625656414,373.4266900058348
1.1875,173.78094523630907,146.34184862004975,1.1875,114.36609152288072,96.30828759821534,1.1875,146.5491372843211,123.40979981837566,1.1875,85.89647411852962,72.33387294191968,1.1875,805.0637659414854,677.9484344770403,1.1875,4993.810952738184,4205.314486516366,1.1875,4993.810952738184,4205.314486516366,1.1875,56.18904726181545,47.317092431002486,1.1875,163.87846961740433,138.00292178307734
1.25,165.11627906976742,132.09302325581393,1.25,4993.810952738184,3995.048762190547,1.25,163.87846961740433,131.10277569392346,1.25,87.13428357089272,69.70742685671418,1.25,4993.810952738184,3995.048762190547,1.25,4993.810952738184,3995.048762190547,1.25,4993.810952738184,3995.048762190547,1.25,56.18904726181545,44.951237809452365,1.25,84.65866466616654,67.72693173293324
1.3125,158.92723180795198,121.08741471082055,1.3125,4993.810952738184,3804.8083449433784,1.3125,193.58589647411853,147.49401636123315,1.3125,87.13428357089272,66.38802557782303,1.3125,4993.810952738184,3804.8083449433784,1.3125,4993.810952738184,3804.8083449433784,1.3125,4993.810952738184,3804.8083449433784,1.3125,56.18904726181545,42.810702675668914,1.3125,74.75618904726181,56.957096416961384
1.375,155.2138034508627,112.88276614608198,1.375,4993.810952738184,3631.8625110823155,1.375,254.23855963990997,184.90077064720725,1.375,87.13428357089272,63.37038805155834,1.375,4993.810952738184,3631.8625110823155,1.375,4993.810952738184,3631.8625110823155,1.375,4993.810952738184,3631.8625110823155,1.375,56.18904726181545,40.864761644956694,1.375,73.51837959489872,53.46791243265361
1.4375,153.97599399849963,107.11373495547801,1.4375,4993.810952738184,3473.9554453830847,1.4375,375.54388597149284,261.2479206758211,1.4375,87.13428357089272,60.61515378844711,1.4375,4993.810952738184,3473.9554453830847,1.4375,4993.810952738184,3473.9554453830847,1.4375,4993.810952738184,3473.9554453830847,1.4375,57.42685671417854,39.94911771421116,1.4375,4993.810952738184,3473.9554453830847
1.5,155.2138034508627,103.47586896724181,1.5,4993.810952738184,3329.207301825456,1.5,546.3615903975993,364.2410602650662,1.5,87.13428357089272,58.08952238059515,1.5,4993.810952738184,3329.207301825456,1.5,4993.810952738184,3329.207301825456,1.5,4993.810952738184,3329.207301825456,1.5,58.664666166541636,39.10977744436109,1.5,4993.810952738184,3329.207301825456
1.5625,156.4516129032258,100.12903225806451,1.5625,4993.810952738184,3196.039009752438,1.5625,656.5266316579144,420.17704426106525,1.5625,87.13428357089272,55.76594148537134,1.5625,4993.810952738184,3196.039009752438,1.5625,4993.810952738184,3196.039009752438,1.5625,61.14028507126782,39.129782445611404,1.5625,58.664666166541636,37.545386346586646,1.5625,4993.810952738184,3196.039009752438
1.625,160.1650412603151,98.56310231404005,1.625,4993.810952738184,3073.114432454267,1.625,649.099774943736,399.44601534999134,1.625,88.37209302325581,54.38282647584973,1.625,4993.810952738184,3073.114432454267,1.625,4993.810952738184,3073.114432454267,1.625,62.37809452363091,38.38651970684979,1.625,4993.810952738184,3073.114432454267,1.625,4993.810952738184,3073.114432454267
1.6875,163.87846961740433,97.11316718068404,1.6875,1343.5108777194298,796.1545942041065,1.6875,583.4958739684921,345.7753327220694,1.6875,88.37209302325581,52.368647717484926,1.6875,4993.810952738184,2959.295379400405,1.6875,4993.810952738184,2959.295379400405,1.6875,63.615903975994,37.6983134672557,1.6875,4993.810952738184,2959.295379400405,1.6875,4993.810952738184,2959.295379400405
1.75,168.82970742685671,96.4741185296324,1.75,551.3128282070518,315.03590183260104,1.75,517.8919729932483,295.93827028185615,1.75,89.6099024756189,51.20565855749651,1.75,4993.810952738184,2853.6062587075335,1.75,4993.810952738184,2853.6062587075335,1.75,66.09152288072018,37.766584503268675,1.75,4993.810952738184,2853.6062587075335,1.75,4993.810952738184,2853.6062587075335
1.8125,175.01875468867217,96.56207155237085,1.8125,407.7269317329332,224.95278992161832,1.8125,468.37959489872463,258.416328219986,1.8125,92.08552138034509,50.805804899500735,1.8125,4993.810952738184,2755.2060428900327,1.8125,4993.810952738184,2755.2060428900327,1.8125,67.32933233308327,37.147217838942495,1.8125,4993.810952738184,2755.2060428900327,1.8125,4993.810952738184,2755.2060428900327
1.875,179.96999249812453,95.98399599899975,1.875,354.5011252813203,189.06726681670415,1.875,432.483120780195,230.657664416104,1.875,97.03675918979744,51.752938234558634,1.875,4993.810952738184,2663.3658414603647,1.875,4993.810952738184,2663.3658414603647,1.875,68.56714178544635,36.56914228557139,1.875,4993.810952738184,2663.3658414603647,1.875,4993.810952738184,2663.3658414603647
1.9375,186.15903975994,96.08208503738838,1.9375,330.9827456864216,170.82980422524986,1.9375,408.9647411852963,211.0785760956368,1.9375,105.70142535633909,54.555574377465334,1.9375,4993.810952738184,2577.450814316482,1.9375,4993.810952738184,2577.450814316482,1.9375,69.80495123780945,36.02836192919197,1.9375,4228.844711177794,2182.6295283498293,1.9375,4993.810952738184,2577.450814316482
2.0,191.11027756939234,95.55513878469617,2.0,321.08027006751684,160.54013503375842,2.0,392.87321830457614,196.43660915228807,2.0,116.8417104276069,58.42085521380345,2.0,264.14103525881467,132.07051762940733,2.0,4993.810952738184,2496.905476369092,2.0,72.28057014253564,36.14028507126782,2.0,1478.4321080270067,739.2160540135034,2.0,4993.810952738184,2496.905476369092
2.0625,193.58589647411853,93.85982859351202,2.0625,317.3668417104276,153.87483234444974,2.0625,382.9707426856714,185.68278433244674,2.0625,129.2198049512378,62.652026643024385,2.0625,238.14703675918977,115.4652299438496,2.0625,4993.810952738184,2421.241674054877,2.0625,73.51837959489872,35.64527495510241,2.0625,920.1800450112528,446.1479006115165,2.0625,4993.810952738184,2421.241674054877
2.125,194.8237059264816,91.68174396540311,2.125,318.6046511627907,149.93160054719561,2.125,379.25731432858214,178.47403027227395,2.125,139.12228057014255,65.4693085035965,2.125,225.76894223555888,106.24420811085123,2.125,4993.810952738184,2350.0286836414984,2.125,74.75618904726181,35.17938308106438,2.125,677.569392348087,318.8561846343939,2.125,4993.810952738184,2350.0286836414984
2.1875,192.34808702175542,87.9305540670882,2.1875,323.55588897224305,147.91126353016824,2.1875,381.7329332333083,174.5064837637981,2.1875,146.5491372843211,66.99389132997536,2.1875,220.81770442610653,100.94523630907727,2.1875,4993.810952738184,2282.885006966027,2.1875,75.99399849962491,34.74011359982853,2.1875,538.9347336834207,246.37016396956378,2.1875,4993.810952738184,2282.885006966027
2.25,186.15903975994,82.73735100441777,2.25,332.2205551387847,147.65358006168208,2.25,390.3975993998499,173.51004417771108,2.25,151.50037509377344,67.33350004167708,2.25,218.34208552138034,97.04092689839126,2.25,4993.810952738184,2219.471534550304,2.25,77.231807951988,34.32524797866134,2.25,448.5746436609152,199.3665082937401,2.25,4993.810952738184,2219.471534550304
2.3125,179.96999249812453,77.82486162081061,2.3125,345.8364591147787,149.5509012388232,2.3125,411.44036009002247,177.9201557146043,2.3125,153.97599399849963,66.58421362097282,2.3125,218.34208552138034,94.4181991443807,2.3125,4993.810952738184,2159.4858174002957,2.3125,78.46961740435108,33.93280752620588,2.3125,382.9707426856714,165.60896981002006,2.3125,4993.810952738184,2159.4858174002957
2.375,173.78094523630907,73.17092431002487,2.375,368.1170292573143,154.99664389781654,2.375,453.52588147036755,190.95826588226,2.375,156.4516129032258,65.87436332767402,2.375,233.19579894973742,98.18770482094207,2.375,110.65266316579144,46.59059501717534,2.375,79.70742685671418,33.56102183440597,2.375,334.69617404351084,140.9247048604256,2.375,4993.810952738184,2102.657243258183
